source_name,source_event_id,source_name_value,event_type,time_utc,precision,time_definition,quality,pad,vehicle_mission,stations_recorded,notes,source_url,source_file,time_role,location,status,retrieved_at,cache_source,persistent_event_id
launch_library_2,aa88b853-9e04-4a28-9433-d87799331b1b,Falcon Heavy | USSF-44,orbital_launch,2022-11-01T13:41:00Z,,LL2 NET/T-0,Launch Successful,Launch Complex 39A,Falcon Heavy | USSF-44,,,https://ll.thespacedevs.com/2.3.0/launches/aa88b853-9e04-4a28-9433-d87799331b1b/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,baf2eb66-6cfc-48bb-9ced-85c40218abf1,Falcon 9 Block 5 | Hotbird 13G,orbital_launch,2022-11-03T05:22:00Z,minute,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Hotbird 13G,,,https://ll.thespacedevs.com/2.3.0/launches/baf2eb66-6cfc-48bb-9ced-85c40218abf1/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,409f94d5-f3ef-4e33-b639-5c8e66a506fc,Falcon 9 Block 5 | Galaxy 31 & 32,orbital_launch,2022-11-12T16:06:00Z,minute,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Galaxy 31 & 32,,,https://ll.thespacedevs.com/2.3.0/launches/409f94d5-f3ef-4e33-b639-5c8e66a506fc/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,65896761-b6ca-4df3-9699-e077a360c52a,SLS Block 1 | Artemis I,orbital_launch,2022-11-16T06:47:44Z,,LL2 NET/T-0,Launch Successful,Launch Complex 39B,Space Launch System Block 1 | Artemis I,,,https://ll.thespacedevs.com/2.3.0/launches/65896761-b6ca-4df3-9699-e077a360c52a/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,d39b1374-21d3-467a-967d-f22a2cc199e3,Falcon 9 Block 5 | Eutelsat 10B,orbital_launch,2022-11-23T02:57:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Eutelsat 10B,,,https://ll.thespacedevs.com/2.3.0/launches/d39b1374-21d3-467a-967d-f22a2cc199e3/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,8b360e14-f90d-4a34-9a81-cb5a5ac364c1,Falcon 9 Block 5 | Dragon CRS-2 SpX-26,orbital_launch,2022-11-26T19:20:43Z,,LL2 NET/T-0,Launch Successful,Launch Complex 39A,Falcon 9 Block 5 | Dragon CRS-2 SpX-26,,,https://ll.thespacedevs.com/2.3.0/launches/8b360e14-f90d-4a34-9a81-cb5a5ac364c1/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,03d55128-630b-4630-b3b1-2d9bf34946a8,Falcon 9 Block 5 | OneWeb 15,orbital_launch,2022-12-08T22:27:48Z,,LL2 NET/T-0,Launch Successful,Launch Complex 39A,Falcon 9 Block 5 | OneWeb 15,,,https://ll.thespacedevs.com/2.3.0/launches/03d55128-630b-4630-b3b1-2d9bf34946a8/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,2306e0bc-e1a3-4a4a-9285-e1a94073655e,Falcon 9 Block 5 | Hakuto-R M1 & Lunar Flashlight,orbital_launch,2022-12-11T07:38:13Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Hakuto-R M1 & Lunar Flashlight,,,https://ll.thespacedevs.com/2.3.0/launches/2306e0bc-e1a3-4a4a-9285-e1a94073655e/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,7105c4f4-7427-4f9a-a959-a8ecedd6062b,Falcon 9 Block 5 | O3b mPower 1 & 2,orbital_launch,2022-12-16T22:48:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | O3b mPower 1 & 2,,,https://ll.thespacedevs.com/2.3.0/launches/7105c4f4-7427-4f9a-a959-a8ecedd6062b/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,bf91b6d9-f517-4198-843c-dc82dfa6f9b0,Falcon 9 Block 5 | Starlink Group 4-37,orbital_launch,2022-12-17T21:32:30Z,second,LL2 NET/T-0,Launch Successful,Launch Complex 39A,Falcon 9 Block 5 | Starlink Group 4-37,,,https://ll.thespacedevs.com/2.3.0/launches/bf91b6d9-f517-4198-843c-dc82dfa6f9b0/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,d955a829-0222-41d8-8f69-ee1d5f851b93,Falcon 9 Block 5 | Starlink Group 5-1,orbital_launch,2022-12-28T09:34:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Starlink Group 5-1,,,https://ll.thespacedevs.com/2.3.0/launches/d955a829-0222-41d8-8f69-ee1d5f851b93/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,3622669f-6e06-467a-86f3-47b56b1114c1,Falcon 9 Full Thrust | Amos 6 (Failure before launch),launch_failure,2016-09-03T07:00:00Z,,LL2 NET/T-0,Launch Failure,Space Launch Complex 40,Falcon 9 Full Thrust | Amos 6 (Failure before launch),,,https://ll.thespacedevs.com/2.3.0/launches/3622669f-6e06-467a-86f3-47b56b1114c1/?format=json,,scheduled_launch_time,"Cape Canaveral SFS, FL, USA",Launch Failure,2026-09-15T20:32:52.213460Z,launch_library_2,
