source_name,source_event_id,source_name_value,event_type,time_utc,precision,time_definition,quality,pad,location,vehicle_mission,status,source_url,notes,time_role,retrieved_at,cache_source
gcat,1974-W1204,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-19T16:18:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1220,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-24T14:41:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1225,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-25T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y312,- | Met Sphere | - | -,orbital_launch,1974-09-25T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1232,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-26T15:20:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1250,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-30T14:26:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1261,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-02T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y318,- | Met Sphere | - | -,orbital_launch,1974-10-02T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1271,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-03T15:10:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y322,- | Met Sphere | - | -,orbital_launch,1974-10-07T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1286,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-08T15:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-075,589/D103 | Westar 2 | Westar 2 | -,orbital_launch,1974-10-10T22:53:00Z,second,GCAT Launch_Date (UTC; first motion),OS,LC17B,CC,Delta 2914 C | 589/D103 | Westar 2 | Westar 2 | -,OS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1303,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-11T14:08:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1319,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-16T14:40:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y332,- | Met Sphere | - | -,orbital_launch,1974-10-16T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1330,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-18T14:36:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1338,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-21T14:35:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1349,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-23T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1360,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-25T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1372,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-30T14:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
