,sourcefile,outputfile,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed,SDS,miniseed
1146,20220923\Baro\100hz_Baro_Sensors356.csv,20220923.Baro.100hz_Baro_Sensors356.csv,2022/09/19 12:00:00,2022/09/19 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1149,20220923\100hz\100hz_Sensors_100Hz221.csv,20220923.100hz.100hz_Sensors_100Hz221.csv,2022/09/19 16:00:00,2022/09/19 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1150,20220923\20hz\20hz_Sensors_20Hz357.csv,20220923.20hz.20hz_Sensors_20Hz357.csv,2022/09/19 16:00:00,2022/09/19 20:00:00,4.0,287962,287962.0,20.0000190735,287962,2.0,True,False,True
1151,20220923\Baro\100hz_Baro_Sensors357.csv,20220923.Baro.100hz_Baro_Sensors357.csv,2022/09/19 16:00:00,2022/09/19 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1152,20220923\20hz\20hz_Sensors_20Hz358.csv,20220923.20hz.20hz_Sensors_20Hz358.csv,2022/09/19 20:00:00,2022/09/20 00:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1153,20220923\Baro\100hz_Baro_Sensors358.csv,20220923.Baro.100hz_Baro_Sensors358.csv,2022/09/19 20:00:00,2022/09/20 00:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1154,20220923\100hz\100hz_Sensors_100Hz222.csv,20220923.100hz.100hz_Sensors_100Hz222.csv,2022/09/19 20:00:00,2022/09/20 00:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1157,20220923\100hz\100hz_Sensors_100Hz223.csv,20220923.100hz.100hz_Sensors_100Hz223.csv,2022/09/20 00:00:00,2022/09/20 01:46:58,1.78,641894,641894.0,100.000095368,641894,0.0,True,True,True
1156,20220923\Baro\100hz_Baro_Sensors359.csv,20220923.Baro.100hz_Baro_Sensors359.csv,2022/09/20 00:00:00,2022/09/20 01:46:59,1.78,641920,641920.0,100.000095368,641920,0.0,True,True,True
1155,20220923\20hz\20hz_Sensors_20Hz359.csv,20220923.20hz.20hz_Sensors_20Hz359.csv,2022/09/20 00:00:00,2022/09/20 01:46:58,1.78,128362,128362.0,20.0000190735,128362,0.0,True,True,True
1158,20220923\100hz\100hz_Sensors_100Hz224.csv,20220923.100hz.100hz_Sensors_100Hz224.csv,2022/09/20 01:46:58,2022/09/20 12:00:00,10.22,1134658,1134603.0,100.000095368,1134603,2.0,False,False,True
1159,20220923\20hz\20hz_Sensors_20Hz360.csv,20220923.20hz.20hz_Sensors_20Hz360.csv,2022/09/20 01:46:59,2022/09/20 12:00:00,10.22,226908,226903.0,20.0000190735,226903,2.0,False,False,True
1160,20220923\Baro\100hz_Baro_Sensors360.csv,20220923.Baro.100hz_Baro_Sensors360.csv,2022/09/20 01:46:59,2022/09/20 12:00:00,10.22,1135035,1135021.0,100.000095368,1135021,2.0,False,False,True
1161,20220923\100hz\100hz_Sensors_100Hz225.csv,20220923.100hz.100hz_Sensors_100Hz225.csv,2022/09/20 12:00:00,2022/09/20 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1162,20220923\Baro\100hz_Baro_Sensors361.csv,20220923.Baro.100hz_Baro_Sensors361.csv,2022/09/20 12:00:00,2022/09/20 16:00:00,4.0,1439997,1439997.0,100.000095368,1439997,2.0,True,True,True
1163,20220923\20hz\20hz_Sensors_20Hz361.csv,20220923.20hz.20hz_Sensors_20Hz361.csv,2022/09/20 12:00:00,2022/09/20 16:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1166,20220923\20hz\20hz_Sensors_20Hz362.csv,20220923.20hz.20hz_Sensors_20Hz362.csv,2022/09/20 16:00:00,2022/09/20 20:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1164,20220923\Baro\100hz_Baro_Sensors362.csv,20220923.Baro.100hz_Baro_Sensors362.csv,2022/09/20 16:00:00,2022/09/20 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1165,20220923\100hz\100hz_Sensors_100Hz226.csv,20220923.100hz.100hz_Sensors_100Hz226.csv,2022/09/20 16:00:00,2022/09/20 20:00:00,4.0,1439901,1439901.0,100.000095368,1439901,1.0,True,False,True
1167,20220923\100hz\100hz_Sensors_100Hz227.csv,20220923.100hz.100hz_Sensors_100Hz227.csv,2022/09/20 20:00:00,2022/09/21 00:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1168,20220923\20hz\20hz_Sensors_20Hz363.csv,20220923.20hz.20hz_Sensors_20Hz363.csv,2022/09/20 20:00:00,2022/09/21 00:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1169,20220923\Baro\100hz_Baro_Sensors363.csv,20220923.Baro.100hz_Baro_Sensors363.csv,2022/09/20 20:00:00,2022/09/21 00:00:00,4.0,1439997,1439997.0,100.000095368,1439997,2.0,True,True,True
1170,20220923\100hz\100hz_Sensors_100Hz228.csv,20220923.100hz.100hz_Sensors_100Hz228.csv,2022/09/21 00:00:00,2022/09/21 04:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1171,20220923\20hz\20hz_Sensors_20Hz364.csv,20220923.20hz.20hz_Sensors_20Hz364.csv,2022/09/21 00:00:00,2022/09/21 04:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1172,20220923\Baro\100hz_Baro_Sensors364.csv,20220923.Baro.100hz_Baro_Sensors364.csv,2022/09/21 00:00:00,2022/09/21 04:00:00,4.0,1439996,1439996.0,100.000095368,1439996,2.0,True,True,True
1175,20220923\100hz\100hz_Sensors_100Hz229.csv,20220923.100hz.100hz_Sensors_100Hz229.csv,2022/09/21 04:00:00,2022/09/21 08:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1174,20220923\Baro\100hz_Baro_Sensors365.csv,20220923.Baro.100hz_Baro_Sensors365.csv,2022/09/21 04:00:00,2022/09/21 08:00:00,4.0,1439996,1439996.0,100.000095368,1439996,2.0,True,True,True
1173,20220923\20hz\20hz_Sensors_20Hz365.csv,20220923.20hz.20hz_Sensors_20Hz365.csv,2022/09/21 04:00:00,2022/09/21 08:00:00,4.0,287961,287961.0,20.0000190735,287961,2.0,True,False,True
1176,20220923\20hz\20hz_Sensors_20Hz366.csv,20220923.20hz.20hz_Sensors_20Hz366.csv,2022/09/21 08:00:00,2022/09/21 12:00:00,4.0,287962,287962.0,20.0000190735,287962,2.0,True,False,True
1177,20220923\Baro\100hz_Baro_Sensors366.csv,20220923.Baro.100hz_Baro_Sensors366.csv,2022/09/21 08:00:00,2022/09/21 12:00:00,4.0,1439988,1439988.0,100.000095368,1439988,1.0,True,True,True
1178,20220923\100hz\100hz_Sensors_100Hz230.csv,20220923.100hz.100hz_Sensors_100Hz230.csv,2022/09/21 08:00:00,2022/09/21 12:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1179,20220923\20hz\20hz_Sensors_20Hz367.csv,20220923.20hz.20hz_Sensors_20Hz367.csv,2022/09/21 12:00:00,2022/09/21 16:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1180,20220923\100hz\100hz_Sensors_100Hz231.csv,20220923.100hz.100hz_Sensors_100Hz231.csv,2022/09/21 12:00:00,2022/09/21 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1181,20220923\Baro\100hz_Baro_Sensors367.csv,20220923.Baro.100hz_Baro_Sensors367.csv,2022/09/21 12:00:00,2022/09/21 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1184,20220923\20hz\20hz_Sensors_20Hz368.csv,20220923.20hz.20hz_Sensors_20Hz368.csv,2022/09/21 16:00:00,2022/09/21 20:00:00,4.0,287962,287962.0,20.0000190735,287962,2.0,True,False,True
1182,20220923\Baro\100hz_Baro_Sensors368.csv,20220923.Baro.100hz_Baro_Sensors368.csv,2022/09/21 16:00:00,2022/09/21 20:00:00,4.0,1440009,1440009.0,100.000095368,1440009,1.0,True,True,True
1183,20220923\100hz\100hz_Sensors_100Hz232.csv,20220923.100hz.100hz_Sensors_100Hz232.csv,2022/09/21 16:00:00,2022/09/21 20:00:00,4.0,1439802,1439802.0,100.000095368,1439802,2.0,True,False,True
1185,20220923\100hz\100hz_Sensors_100Hz233.csv,20220923.100hz.100hz_Sensors_100Hz233.csv,2022/09/21 20:00:00,2022/09/22 00:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1186,20220923\20hz\20hz_Sensors_20Hz369.csv,20220923.20hz.20hz_Sensors_20Hz369.csv,2022/09/21 20:00:00,2022/09/22 00:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1187,20220923\Baro\100hz_Baro_Sensors369.csv,20220923.Baro.100hz_Baro_Sensors369.csv,2022/09/21 20:00:00,2022/09/22 00:00:00,4.0,1439988,1439988.0,100.000095368,1439988,1.0,True,True,True
1188,20220923\Baro\100hz_Baro_Sensors370.csv,20220923.Baro.100hz_Baro_Sensors370.csv,2022/09/22 00:00:00,2022/09/22 04:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1189,20220923\100hz\100hz_Sensors_100Hz234.csv,20220923.100hz.100hz_Sensors_100Hz234.csv,2022/09/22 00:00:00,2022/09/22 04:00:00,4.0,1439703,1439703.0,100.000095368,1439703,3.0,True,False,True
1190,20220923\20hz\20hz_Sensors_20Hz370.csv,20220923.20hz.20hz_Sensors_20Hz370.csv,2022/09/22 00:00:00,2022/09/22 04:00:00,4.0,287962,287962.0,20.0000190735,287962,2.0,True,False,True
1191,20220923\Baro\100hz_Baro_Sensors371.csv,20220923.Baro.100hz_Baro_Sensors371.csv,2022/09/22 04:00:00,2022/09/22 07:38:53,3.65,1313322,1313322.0,100.000095368,1313322,2.0,True,True,True
1192,20220923\100hz\100hz_Sensors_100Hz235.csv,20220923.100hz.100hz_Sensors_100Hz235.csv,2022/09/22 04:00:00,2022/09/22 07:38:53,3.65,1313344,1313344.0,100.000095368,1313344,0.0,True,True,True
1193,20220923\20hz\20hz_Sensors_20Hz371.csv,20220923.20hz.20hz_Sensors_20Hz371.csv,2022/09/22 04:00:00,2022/09/22 07:38:52,3.65,262656,262656.0,20.0000190735,262656,0.0,True,True,True
1194,20220923\20hz\20hz_Sensors_20Hz372.csv,20220923.20hz.20hz_Sensors_20Hz372.csv,2022/09/22 07:38:52,2022/09/22 12:00:00,4.35,234127,234114.0,20.0000190735,234114,3.0,False,False,True
1195,20220923\Baro\100hz_Baro_Sensors372.csv,20220923.Baro.100hz_Baro_Sensors372.csv,2022/09/22 07:38:53,2022/09/22 12:00:00,4.35,1171082,1171060.0,100.000095368,1171060,3.0,False,False,True
1196,20220923\100hz\100hz_Sensors_100Hz236.csv,20220923.100hz.100hz_Sensors_100Hz236.csv,2022/09/22 07:38:53,2022/09/22 12:00:00,4.35,1170559,1170554.0,100.000095368,1170554,3.0,False,False,True
1199,20220923\20hz\20hz_Sensors_20Hz373.csv,20220923.20hz.20hz_Sensors_20Hz373.csv,2022/09/22 12:00:00,2022/09/22 16:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1198,20220923\100hz\100hz_Sensors_100Hz237.csv,20220923.100hz.100hz_Sensors_100Hz237.csv,2022/09/22 12:00:00,2022/09/22 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1197,20220923\Baro\100hz_Baro_Sensors373.csv,20220923.Baro.100hz_Baro_Sensors373.csv,2022/09/22 12:00:00,2022/09/22 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1200,20220923\20hz\20hz_Sensors_20Hz374.csv,20220923.20hz.20hz_Sensors_20Hz374.csv,2022/09/22 16:00:00,2022/09/22 20:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1201,20220923\Baro\100hz_Baro_Sensors374.csv,20220923.Baro.100hz_Baro_Sensors374.csv,2022/09/22 16:00:00,2022/09/22 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1202,20220923\100hz\100hz_Sensors_100Hz238.csv,20220923.100hz.100hz_Sensors_100Hz238.csv,2022/09/22 16:00:00,2022/09/22 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1203,20220923\Baro\100hz_Baro_Sensors375.csv,20220923.Baro.100hz_Baro_Sensors375.csv,2022/09/22 20:00:00,2022/09/23 00:00:00,4.0,1439997,1439997.0,100.000095368,1439997,2.0,True,True,True
1204,20220923\100hz\100hz_Sensors_100Hz239.csv,20220923.100hz.100hz_Sensors_100Hz239.csv,2022/09/22 20:00:00,2022/09/23 00:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1205,20220923\20hz\20hz_Sensors_20Hz375.csv,20220923.20hz.20hz_Sensors_20Hz375.csv,2022/09/22 20:00:00,2022/09/23 00:00:00,4.0,287981,287981.0,20.0000190735,287981,1.0,True,False,True
1206,20220923\20hz\20hz_Sensors_20Hz376.csv,20220923.20hz.20hz_Sensors_20Hz376.csv,2022/09/23 00:00:00,2022/09/23 04:00:00,4.0,287962,287962.0,20.0000190735,287962,2.0,True,False,True
1207,20220923\100hz\100hz_Sensors_100Hz240.csv,20220923.100hz.100hz_Sensors_100Hz240.csv,2022/09/23 00:00:00,2022/09/23 04:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1208,20220923\Baro\100hz_Baro_Sensors376.csv,20220923.Baro.100hz_Baro_Sensors376.csv,2022/09/23 00:00:00,2022/09/23 04:00:00,4.0,1439988,1439988.0,100.000095368,1439988,1.0,True,True,True
1209,20220923\Baro\100hz_Baro_Sensors377.csv,20220923.Baro.100hz_Baro_Sensors377.csv,2022/09/23 04:00:00,2022/09/23 07:19:43,3.33,1198345,1198345.0,100.000095368,1198345,1.0,True,True,True
1210,20220923\100hz\100hz_Sensors_100Hz241.csv,20220923.100hz.100hz_Sensors_100Hz241.csv,2022/09/23 04:00:00,2022/09/23 07:19:33,3.33,1197196,1197196.0,100.000095368,1197196,2.0,True,False,True
1211,20220923\20hz\20hz_Sensors_20Hz377.csv,20220923.20hz.20hz_Sensors_20Hz377.csv,2022/09/23 04:00:00,2022/09/23 07:19:37,3.33,239530,239530.0,20.0000190735,239530,1.0,True,False,True
