name,slug,launch_designator,SLC,success,net,window_start,window_end
Falcon 9 Block 5 | OneWeb 17,falcon-9-block-5-oneweb-17,2023-029,Space Launch Complex 40,True,2023-03-09T19:13:28Z,2023-03-09 19:13:28+00:00,2023-03-09 19:13:28+00:00
Falcon 9 Block 5 | Dragon CRS-2 SpX-27,falcon-9-block-5-dragon-crs-2-spx-27,2023-033,Launch Complex 39A,True,2023-03-15T00:30:42Z,2023-03-15 00:30:42+00:00,2023-03-15 00:30:42+00:00
Electron | Stronger Together (Capella 9-10),electron-stronger-together-capella-9-10,2023-035,Space Launch Complex 40,True,2023-03-16T22:38:59Z,2023-03-16 22:00:00+00:00,2023-03-17 00:00:00+00:00
Falcon 9 Block 5 | SES-18 & SES-19,falcon-9-block-5-ses-18-ses-19,2023-038,Space Launch Complex 40,True,2023-03-17T23:38:00Z,2023-03-17 23:38:00+00:00,2023-03-18 00:16:00+00:00
"Terran 1 | Good Luck, Have Fun (Maiden Flight)",terran-1-good-luck-have-fun-maiden-flight,,Space Launch Complex 40,True,2023-03-23T03:25:00Z,2023-03-23 02:00:00+00:00,2023-03-23 05:00:00+00:00
Falcon 9 Block 5 | Starlink Group 5-5,falcon-9-block-5-starlink-group-5-5,2023-042,Space Launch Complex 40,True,2023-03-24T15:43:10Z,2023-03-24 15:43:10+00:00,2023-03-24 18:55:00+00:00
Falcon 9 Block 5 | Starlink Group 5-10,falcon-9-block-5-starlink-group-5-10,2023-046,Space Launch Complex 40,True,2023-03-29T20:01:00Z,2023-03-29 20:01:00+00:00,2023-03-29 23:54:00+00:00
Falcon 9 Block 5 | Intelsat 40e,falcon-9-block-5-intelsat-40e,2023-052,Launch Complex 16,True,2023-04-07T04:30:00Z,2023-04-07 04:30:00+00:00,2023-04-07 06:29:00+00:00
Falcon 9 Block 5 | Starlink Group 6-2,falcon-9-block-5-starlink-group-6-2,2023-056,Space Launch Complex 40,True,2023-04-19T14:31:10Z,2023-04-19 13:47:00+00:00,2023-04-19 14:31:10+00:00
Falcon 9 Block 5 | O3b mPower 3 & 4,falcon-9-block-5-o3b-mpower-3-4,2023-059,Rocket Lab Launch Complex 2 (Launch Area 0 C),True,2023-04-28T22:12:00Z,2023-04-28 21:12:00+00:00,2023-04-28 22:40:00+00:00
Falcon Heavy | ViaSat-3 Americas & others,falcon-heavy-viasat-3-americas-others,2023-060,Launch Complex 39A,True,2023-05-01T00:26:00Z,2023-04-30 23:29:00+00:00,2023-05-01 00:26:00+00:00
Falcon 9 Block 5 | Starlink Group 5-6,falcon-9-block-5-starlink-group-5-6,2023-061,Space Launch Complex 40,True,2023-05-04T07:31:00Z,2023-05-04 07:31:00+00:00,2023-05-04 07:31:00+00:00
Falcon 9 Block 5 | Starlink Group 5-9,falcon-9-block-5-starlink-group-5-9,2023-065,Space Launch Complex 40,True,2023-05-14T05:03:50Z,2023-05-14 05:03:50+00:00,2023-05-14 05:03:50+00:00
Falcon 9 Block 5 | Starlink Group 6-3,falcon-9-block-5-starlink-group-6-3,2023-067,Space Launch Complex 40,True,2023-05-19T06:19:30Z,2023-05-19 04:41:30+00:00,2023-05-19 07:09:00+00:00
Falcon 9 Block 5 | Axiom Space Mission 2,falcon-9-block-5-axiom-space-mission-2,2023-070,Launch Complex 39A,True,2023-05-21T21:37:09Z,2023-05-21 21:37:09+00:00,2023-05-21 21:37:09+00:00
Falcon 9 Block 5 | BADR-8,falcon-9-block-5-badr-8,2023-075,Space Launch Complex 40,True,2023-05-27T04:30:00Z,2023-05-27 03:25:00+00:00,2023-05-27 05:32:00+00:00
