eventNumber,firstArrivalDatenum,lastArrivalDatenum,firstArrivalEpochS,lastArrivalEpochS,firstArrivalUTC,lastArrivalUTC,meanCorr,stdCorr,meanSecsDiff,stdSecsDiff,bestBackAzimuthDeg,bestSoundSpeedMps,apparentSpeedMps,apparentSpeedErrorMps,reducedPressure1Pa,reducedPressure2Pa,reducedPressure3Pa,infrasoundEnergyJ,seismicEnergyJ,snr1,snr2,snr3,nAssociatedPicks,nNPhasePicks,nInfrasoundChannelPicks,nSeismicChannelPicks
42,736574.548309491,736574.548310417,1472735373.94,1472735374.02,2016-09-01T13:09:33.940,2016-09-01T13:09:34.020,0.689697589207872,0.144028014450401,6.93889390390723e-18,0.0737129567986524,202.8,353.008132102951,432.932526144493,113.911106980206,59.1894135131169,89.7838388016178,80.8535773985188,757298.872611954,16399.9492221892,4.2974827044033,7.89390905460272,7.32606549855382,5,4,3,2
43,736574.548379352,736574.548379491,1472735379.976,1472735379.988,2016-09-01T13:09:39.976,2016-09-01T13:09:39.988,0.523634567508461,0.210532721295665,-0.0333333333333333,0.0585514019188838,63.8,1093.31817620698,-1664.93502310923,3229.87425308674,53.0007672146652,42.9387642074572,44.1458754631333,308738.468791267,4969.40464189911,2.3733889671056,4.64343842449781,4.99239871555253,3,2,2,1
44,736574.548655081,736574.54865522,1472735403.799,1472735403.811,2016-09-01T13:10:03.799,2016-09-01T13:10:03.811,0.515711050888068,0.182230622767612,0.00400000000000001,0.109836241741968,33.8,230.825461194334,-40.2630970606448,332.840921625091,38.2854384425022,32.6693413288526,39.6655221050259,173514.622005606,2605.80329509019,3.43013963797151,5.6972049893585,6.66572210100149,2,2,2,0
45,736574.54868353,736574.548683727,1472735406.257,1472735406.274,2016-09-01T13:10:06.257,2016-09-01T13:10:06.274,0.523666670767773,0.158514487456593,0.042,0.0978733875984683,195.6,369.190345751349,313.778419494304,228.390194659334,55.9276327580869,30.6851741553321,25.7262815066206,119438.622390502,1116.9571907537,3.50374685346338,5.42965988904241,4.55513086887304,2,2,2,0
46,736574.548866447,736574.54886662,1472735422.061,1472735422.076,2016-09-01T13:10:22.061,2016-09-01T13:10:22.076,0.494681667103285,0.188027050551858,0.00466666666666667,0.083844300144176,200.8,318.860095932349,342.62448142792,49.4066252144346,43.1458754624271,30.7281449672832,33.7935374142954,117727.600250312,3418.98516966628,3.10719372403475,5.35961248929968,5.98690544991822,2,2,2,0
47,736574.548943588,736574.548943704,1472735428.726,1472735428.73601,2016-09-01T13:10:28.726,2016-09-01T13:10:28.736,0.605821352210318,0.12983086889856,0.00400000000000001,0.0739296963337467,201.6,344.927593083463,256.787861998887,208.411646296571,40.1635032505691,30.5805685087224,32.9278681124506,134915.090546273,2013.09781673091,4.19764704082349,4.72294960370176,5.99314170220368,2,2,2,0
48,736574.54901853,736574.549018588,1472735435.201,1472735435.206,2016-09-01T13:10:35.201,2016-09-01T13:10:35.206,0.552344593020524,0.175475395200093,-0.107333333333333,0.0920318785349222,42.9,232.681930504928,79.8563406315908,266.083941327294,36.4754953335489,24.5910640062665,22.8767178808588,111150.462125733,1787.58636969996,0.730480995717962,4.85415587208576,5.19704105095425,3,2,3,0
49,736574.551589907,736574.55159088,1472735657.368,1472735657.452,2016-09-01T13:14:17.368,2016-09-01T13:14:17.452,0.918647480389159,0.0418324933095099,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,345.696841585299,385.7100380196,374.692603479239,15753984.8035304,202179.927445834,7.20376410480073,7.78240168291738,7.81781363592463,6,4,3,3
50,736574.551613762,736574.551614722,1472735659.429,1472735659.512,2016-09-01T13:14:19.429,2016-09-01T13:14:19.512,0.825004207778339,0.0597092738940875,6.93889390390723e-18,0.0753870015320944,202.9,344.711347241456,426.975537654406,118.91383970364,178.996925021393,132.078731269804,166.313253068332,6408920.68556968,18486.4094098453,5.64399692183262,4.23600753327615,4.76631649395558,3,3,3,0
51,736574.551741887,736574.551742882,1472735670.499,1472735670.58501,2016-09-01T13:14:30.499,2016-09-01T13:14:30.585,0.916561776175595,0.0436397609384816,6.93889390390723e-18,0.0737129567986524,202.8,353.008132102951,432.932526144493,113.911106980206,239.644449587402,228.387998258885,235.901980387391,8085852.70710453,180641.071904233,6.73095311054999,6.1178915980605,6.25643971866316,6,4,3,3
