launch_designator,window_start,window_end,name,SLC,success
2023-160,2023-10-17 21:20:30+00:00,2023-10-18 00:48:30+00:00,Falcon 9 Block 5 | Starlink Group 6-23,Space Launch Complex 40,True
2023-162,2023-10-22 02:17:00+00:00,2023-10-22 06:15:30+00:00,Falcon 9 Block 5 | Starlink Group 6-24,Space Launch Complex 40,True
2023-167,2023-10-30 23:20:30+00:00,2023-10-31 02:22:00+00:00,Falcon 9 Block 5 | Starlink Group 6-25,Space Launch Complex 40,True
2023-170,2023-11-03 22:30:10+00:00,2023-11-04 02:22:20+00:00,Falcon 9 Block 5 | Starlink Group 6-26,Space Launch Complex 40,True
2023-171,2023-11-08 04:31:00+00:00,2023-11-08 07:59:10+00:00,Falcon 9 Block 5 | Starlink Group 6-27,Space Launch Complex 40,True
2023-173,2023-11-10 01:28:14+00:00,2023-11-10 01:28:14+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-29,Launch Complex 39A,True
2023-175,2023-11-12 21:08:00+00:00,2023-11-12 22:37:00+00:00,Falcon 9 Block 5 | O3b mPower 5 & 6,Space Launch Complex 40,True
2023-177,2023-11-18 04:00:50+00:00,2023-11-18 07:59:30+00:00,Falcon 9 Block 5 | Starlink Group 6-28,Space Launch Complex 40,True
2023-180,2023-11-22 04:15:30+00:00,2023-11-22 07:59:40+00:00,Falcon 9 Block 5 | Starlink Group 6-29,Space Launch Complex 40,True
2023-183,2023-11-28 04:01:30+00:00,2023-11-28 07:58:10+00:00,Falcon 9 Block 5 | Starlink Group 6-30,Space Launch Complex 40,True
2023-186,2023-12-03 04:00:50+00:00,2023-12-03 04:51:20+00:00,Falcon 9 Block 5 | Starlink Group 6-31,Space Launch Complex 40,True
2023-191,2023-12-07 04:01:00+00:00,2023-12-07 07:59:00+00:00,Falcon 9 Block 5 | Starlink Group 6-33,Space Launch Complex 40,True
2023-200,2023-12-19 04:01:00+00:00,2023-12-19 07:59:00+00:00,Falcon 9 Block 5 | Starlink Group 6-34,Space Launch Complex 40,True
2023-203,2023-12-23 04:00:00+00:00,2023-12-23 08:00:00+00:00,Falcon 9 Block 5 | Starlink Group 6-32,Space Launch Complex 40,True
2023-210,2023-12-29 01:07:00+00:00,2023-12-29 01:17:00+00:00,Falcon Heavy | OTV-7 (X-37B) (USSF-52),Launch Complex 39A,True
2023-211,2023-12-29 04:01:40+00:00,2023-12-29 07:59:50+00:00,Falcon 9 Block 5 | Starlink Group 6-36,Space Launch Complex 40,True
2024-003,2024-01-03 23:04:00+00:00,2024-01-03 23:14:00+00:00,Falcon 9 Block 5 | Ovzon-3,Space Launch Complex 40,True
2024-005,2024-01-07 21:00:40+00:00,2024-01-08 00:35:10+00:00,Falcon 9 Block 5 | Starlink Group 6-35,Space Launch Complex 40,True
2024-006,2024-01-08 07:18:00+00:00,2024-01-08 08:03:00+00:00,Vulcan VC2S | Peregrine lunar lander (Maiden flight),Space Launch Complex 41,True
2024-012,2024-01-15 00:27:00+00:00,2024-01-15 04:23:40+00:00,Falcon 9 Block 5 | Starlink Group 6-37,Space Launch Complex 40,True
2024-014,2024-01-18 21:49:11+00:00,2024-01-18 21:49:11+00:00,Falcon 9 Block 5 | Axiom Space Mission 3,Launch Complex 39A,True
2024-019,2024-01-28 23:15:00+00:00,2024-01-29 02:55:00+00:00,Falcon 9 Block 5 | Starlink Group 6-38,Launch Complex 39A,True
2024-021,2024-01-30 17:07:21+00:00,2024-01-30 17:07:21+00:00,Falcon 9 Block 5 | Cygnus CRS-2 NG-20 (S.S. Patricia “Patty” Hilliard Robertson),Space Launch Complex 40,True
