launch_designator,window_start,window_end,name,SLC,success
2024-161,2024-09-10 07:38:00+00:00,2024-09-10 11:09:00+00:00,Falcon 9 Block 5 | Polaris Dawn,Launch Complex 39A,True
2024-163,2024-09-12 08:52:00+00:00,2024-09-12 12:52:00+00:00,Falcon 9 Block 5 | BlueBird Block 1,Space Launch Complex 40,True
2024-167,2024-09-17 22:50:49+00:00,2024-09-17 22:50:49+00:00,Falcon 9 Block 5 | Galileo L13 (FOC FM26 & FM32),Space Launch Complex 40,True
2024-178,2024-09-28 17:17:21+00:00,2024-09-28 17:17:21+00:00,Falcon 9 Block 5 | Crew-9,Space Launch Complex 40,True
2024-179,2024-10-04 10:00:00+00:00,2024-10-04 13:00:00+00:00,Vulcan VC2S | Certification Flight 2,Space Launch Complex 41,True
2024-180,2024-10-07 14:52:11+00:00,2024-10-07 14:52:11+00:00,Falcon 9 Block 5 | Hera,Space Launch Complex 40,True
2024-182,2024-10-14 16:05:45+00:00,2024-10-14 16:06:00+00:00,Falcon Heavy | Europa Clipper,Launch Complex 39A,True
2024-183,2024-10-15 05:34:00+00:00,2024-10-15 09:22:00+00:00,Falcon 9 Block 5 | Starlink Group 10-10,Space Launch Complex 40,True
2024-187,2024-10-18 19:31:00+00:00,2024-10-18 23:31:00+00:00,Falcon 9 Block 5 | Starlink Group 8-19,Space Launch Complex 40,True
2024-191,2024-10-23 21:47:00+00:00,2024-10-24 01:23:00+00:00,Falcon 9 Block 5 | Starlink Group 6-61,Space Launch Complex 40,True
2024-193,2024-10-26 21:47:00+00:00,2024-10-27 01:47:00+00:00,Falcon 9 Block 5 | Starlink Group 10-8,Space Launch Complex 40,True
2024-196,2024-10-30 21:10:00+00:00,2024-10-31 01:08:00+00:00,Falcon 9 Block 5 | Starlink Group 10-13,Space Launch Complex 40,True
2024-200,2024-11-05 02:29:31+00:00,2024-11-05 02:29:31+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-31,Launch Complex 39A,True
2024-202,2024-11-07 20:13:00+00:00,2024-11-08 00:09:00+00:00,Falcon 9 Block 5 | Starlink Group 6-77,Space Launch Complex 40,True
2024-206,2024-11-11 17:07:00+00:00,2024-11-11 21:07:00+00:00,Falcon 9 Block 5 | Koreasat 6A,Launch Complex 39A,True
2024-207,2024-11-11 21:02:00+00:00,2024-11-12 00:44:00+00:00,Falcon 9 Block 5 | Starlink Group 6-69,Space Launch Complex 40,True
2024-210,2024-11-14 10:33:00+00:00,2024-11-14 14:33:00+00:00,Falcon 9 Block 5 | Starlink Group 6-68,Space Launch Complex 40,True
2024-212,2024-11-17 21:29:00+00:00,2024-11-17 23:27:00+00:00,Falcon 9 Block 5 | Optus-X/TD7,Launch Complex 39A,True
2024-214,2024-11-18 18:31:00+00:00,2024-11-18 20:20:00+00:00,Falcon 9 Block 5 | GSAT-20 (GSAT-N2),Space Launch Complex 40,True
2024-216,2024-11-21 16:07:50+00:00,2024-11-21 19:49:00+00:00,Falcon 9 Block 5 | Starlink Group 6-66,Space Launch Complex 40,True
2024-220,2024-11-25 09:32:00+00:00,2024-11-25 13:32:00+00:00,Falcon 9 Block 5 | Starlink Group 12-1,Space Launch Complex 40,True
2024-222,2024-11-27 03:05:00+00:00,2024-11-27 06:30:00+00:00,Falcon 9 Block 5 | Starlink Group 6-76,Launch Complex 39A,True
2024-224,2024-11-30 05:00:00+00:00,2024-11-30 09:00:00+00:00,Falcon 9 Block 5 | Starlink Group 6-65,Space Launch Complex 40,True
2024-229,2024-12-04 08:29:00+00:00,2024-12-04 12:29:00+00:00,Falcon 9 Block 5 | Starlink Group 6-70,Space Launch Complex 40,True
2024-234,2024-12-05 16:10:00+00:00,2024-12-05 17:40:00+00:00,Falcon 9 Block 5 | Sirius SXM-9,Launch Complex 39A,True
2024-237,2024-12-08 05:12:30+00:00,2024-12-08 09:02:20+00:00,Falcon 9 Block 5 | Starlink Group 12-5,Space Launch Complex 40,True
2024-242,2024-12-17 00:52:00+00:00,2024-12-17 00:52:00+00:00,Falcon 9 Block 5 | GPS III SV07 (RRT-1),Space Launch Complex 40,True
2024-244,2024-12-17 20:59:00+00:00,2024-12-17 22:26:00+00:00,Falcon 9 Block 5 | O3b mPower 7 & 8,Launch Complex 39A,True
2024-249,2024-12-23 05:35:30+00:00,2024-12-23 08:21:20+00:00,Falcon 9 Block 5 | Starlink Group 12-2,Launch Complex 39A,True
2024-252,2024-12-29 05:00:00+00:00,2024-12-29 07:30:00+00:00,Falcon 9 Block 5 | Astranis: From One to Many (4x Astranis MicroGEO),Space Launch Complex 40,True
2024-254,2024-12-31 05:39:10+00:00,2024-12-31 06:28:10+00:00,Falcon 9 Block 5 | Starlink Group 12-6,Launch Complex 39A,True
2025-001,2025-01-04 01:27:00+00:00,2025-01-04 05:27:00+00:00,Falcon 9 Block 5 | Thuraya 4-NGS,Space Launch Complex 40,True
2025-003,2025-01-06 16:44:00+00:00,2025-01-06 21:15:00+00:00,Falcon 9 Block 5 | Starlink Group 6-71,Space Launch Complex 40,True
2025-004,2025-01-08 15:27:00+00:00,2025-01-08 19:17:59+00:00,Falcon 9 Block 5 | Starlink Group 12-11,Launch Complex 39A,True
2025-006,2025-01-10 15:27:00+00:00,2025-01-10 19:15:09+00:00,Falcon 9 Block 5 | Starlink Group 12-12,Space Launch Complex 40,True
2025-008,2025-01-13 14:59:00+00:00,2025-01-13 18:45:00+00:00,Falcon 9 Block 5 | Starlink Group 12-4,Space Launch Complex 40,True
2025-010,2025-01-15 06:06:00+00:00,2025-01-15 06:45:00+00:00,Falcon 9 Block 5 | Blue Ghost Lunar Lander Mission 1 & Hakuto-R M2 “Resilience”,Launch Complex 39A,True
2025-011,2025-01-16 06:00:00+00:00,2025-01-16 09:00:00+00:00,New Glenn | Maiden Flight,Launch Complex 36A,True
2025-014,2025-01-21 05:24:50+00:00,2025-01-21 09:11:49+00:00,Falcon 9 Block 5 | Starlink Group 13-1,Launch Complex 39A,True
2025-019,2025-01-27 20:22:40+00:00,2025-01-27 23:21:00+00:00,Falcon 9 Block 5 | Starlink Group 12-7,Space Launch Complex 40,True
2025-021,2025-01-30 01:34:00+00:00,2025-01-30 03:34:00+00:00,Falcon 9 Block 5 | SpainSat NG I,Launch Complex 39A,True
2025-024,2025-02-04 08:27:10+00:00,2025-02-04 11:24:19+00:00,Falcon 9 Block 5 | Starlink Group 12-3,Space Launch Complex 40,True
2025-025,2025-02-04 23:07:00+00:00,2025-02-05 00:07:00+00:00,Falcon 9 Block 5 | WorldView Legion 5 & 6,Launch Complex 39A,True
2025-027,2025-02-08 18:23:00+00:00,2025-02-08 22:08:00+00:00,Falcon 9 Block 5 | Starlink Group 12-9,Space Launch Complex 40,True
2025-031,2025-02-11 18:53:20+00:00,2025-02-11 20:44:29+00:00,Falcon 9 Block 5 | Starlink Group 12-18,Space Launch Complex 40,True
2025-032,2025-02-15 06:14:10+00:00,2025-02-15 07:15:59+00:00,Falcon 9 Block 5 | Starlink Group 12-8,Space Launch Complex 40,True
